Measure Time,Cuv. No.,Point,Check,SD: 340,SD: 380,SD: 410,SD: 450,SD: 480,SD: 520,SD: 540,SD: 570,SD: 600,SD: 660,SD: 700,SD: 750,SD: 800,OD: 340,OD: 380,OD: 410,OD: 450,OD: 480,OD: 520,OD: 540,OD: 570,OD: 600,OD: 660,OD: 700,OD: 750,OD: 800,
2026/05/15 09:05:24,1,Pw3,1,5201,8343,6099,4148,4272,3396,2924,2494,2330,3015,1689,4286,5010,1.3582,0.9362,0.8886,0.8778,0.7148,0.6977,0.7587,0.8339,0.9006,0.7088,0.6698,0.4911,0.4576,Measure
2026/05/15 09:05:24,88,Pw4,1,1360,2724,552,1803,2441,2997,2852,2655,2299,2050,3275,1740,1781,1.3775,0.9555,0.906,0.8927,0.7285,0.7099,0.7703,0.8448,0.9109,0.7178,0.6777,0.4988,0.4645,Measure
2026/05/15 09:05:24,87,Pw5,1,3807,7113,5106,3801,4057,3355,2963,2573,2422,2929,2192,4261,5005,1.3643,0.9405,0.8927,0.882,0.7189,0.7016,0.7625,0.8376,0.9042,0.7123,0.6731,0.4943,0.4603,Measure
2026/05/15 09:05:24,86,Pw6,1,3864,9192,7852,6345,7131,6195,5512,4674,4191,5126,3966,6850,7373,1.3685,0.9474,0.9002,0.8885,0.7241,0.7052,0.7659,0.841,0.9078,0.7156,0.6758,0.4959,0.461,Measure
2026/05/15 09:05:24,85,Pw7,1,3299,4676,3970,2616,2432,1808,1539,1324,1239,1717,548,2917,3729,1.3607,0.9385,0.891,0.8796,0.7163,0.699,0.7599,0.8351,0.9016,0.7094,0.6703,0.4912,0.4574,Measure
2026/05/15 09:05:33,4,Pw1,1,3944,7181,4769,3260,3611,3052,2761,2347,2062,3101,2060,4464,5381,1.3588,0.9362,0.8883,0.8777,0.715,0.6978,0.7588,0.8341,0.9008,0.7093,0.6703,0.4915,0.4584,Measure
2026/05/15 09:05:33,3,Pw2,1,2211,5811,3787,2066,2209,1634,1431,1238,1209,1601,865,2357,3091,1.3705,0.9462,0.8978,0.8863,0.7229,0.7052,0.766,0.8409,0.9073,0.715,0.6756,0.4963,0.463,Measure
2026/05/15 09:05:33,2,Pw3,1,5866,6415,3008,1971,3002,4409,4689,4984,5214,6216,7610,8468,8744,1.3635,0.9426,0.895,0.8835,0.7201,0.7028,0.7639,0.8391,0.9057,0.7131,0.6737,0.4948,0.4611,Measure
2026/05/15 09:05:33,1,Pw4,1,5442,8732,6208,4280,4432,3507,3039,2550,2442,3112,1701,4356,5262,1.3583,0.9361,0.8887,0.8779,0.7149,0.6977,0.7588,0.834,0.9007,0.7089,0.6699,0.4913,0.4576,Measure
2026/05/15 09:05:33,88,Pw5,1,1520,3008,780,1574,2093,2454,2277,2025,1857,1473,2582,1272,1643,1.3776,0.9556,0.906,0.8926,0.7284,0.7098,0.7702,0.8447,0.9109,0.7178,0.6776,0.4987,0.4645,Measure
